"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 05 19:55:50 AMT 2022","Sun Jun 05 19:55:56 AMT 2022","6193","","Automation Practice","","Automation Practice","Navigate to the frame section","Navigate to the frame section",""
"passed","Sun Jun 05 22:51:47 AMT 2022","Sun Jun 05 22:51:51 AMT 2022","3216","","Automation Practice","","Automation Practice","Should scroll down to the page footer section","Should scroll down to the page footer section",""
"passed","Sun Jun 05 22:51:05 AMT 2022","Sun Jun 05 22:51:06 AMT 2022","249","","Automation Practice","","Automation Practice","Typing text in the search field","Typing text in the search field",""
"broken","Sun Jun 05 21:45:01 AMT 2022","Sun Jun 05 21:45:01 AMT 2022","2","","Automation Practice","","Automation Practice","""before all"" hook for Automation Practice","""before all"" hook for Automation Practice",""
"passed","Sun Jun 05 22:57:21 AMT 2022","Sun Jun 05 22:57:26 AMT 2022","4945","","Automation Practice","","Automation Practice","Select the radio button","Select the radio button",""
"skipped","Sun Jun 05 19:55:16 AMT 2022","Sun Jun 05 19:55:16 AMT 2022","0","","Automation Practice","","Automation Practice","Navigate to the frame section","Navigate to the frame section",""
"passed","Sun Jun 05 22:51:59 AMT 2022","Sun Jun 05 22:52:01 AMT 2022","2505","","Automation Practice","","Automation Practice","Checked hide/show input field","Checked hide/show input field",""
"broken","Fri Jun 03 14:56:25 AMT 2022","Fri Jun 03 14:56:35 AMT 2022","10317","","Automation Practoce","","Automation Practoce","Select the radio button","Select the radio button",""
"passed","Sun Jun 05 22:51:06 AMT 2022","Sun Jun 05 22:51:06 AMT 2022","683","","Automation Practice","","Automation Practice","Select the coutntry in search dropdown","Select the coutntry in search dropdown",""
"passed","Sun Jun 05 22:52:02 AMT 2022","Sun Jun 05 22:52:05 AMT 2022","3366","","Automation Practice","","Automation Practice","Select the item in iframe section","Select the item in iframe section",""
"passed","Sun Jun 05 22:52:01 AMT 2022","Sun Jun 05 22:52:02 AMT 2022","245","","Automation Practice","","Automation Practice","Navigate to the iframe section","Navigate to the iframe section",""
"passed","Sun Jun 05 21:46:00 AMT 2022","Sun Jun 05 21:46:01 AMT 2022","574","","Automation Practice","","Automation Practice","Typing text in alert field","Typing text in alert field",""
"passed","Sun Jun 05 22:51:06 AMT 2022","Sun Jun 05 22:51:47 AMT 2022","41002","","Automation Practice","","Automation Practice","Navigate to the new window","Navigate to the new window",""
"skipped","Sat Jun 04 00:16:21 AMT 2022","Sat Jun 04 00:16:21 AMT 2022","0","","Automation Practice","","Automation Practice","Should scroll down to the selected item and click on it","Should scroll down to the selected item and click on it",""
"passed","Sun Jun 05 22:51:58 AMT 2022","Sun Jun 05 22:51:59 AMT 2022","552","","Automation Practice","","Automation Practice","Check alert functionality","Check alert functionality",""
"passed","Sun Jun 05 20:59:16 AMT 2022","Sun Jun 05 20:59:21 AMT 2022","5019","","Automation Practice","","Automation Practice","Typing text in the text field","Typing text in the text field",""
"passed","Sun Jun 05 22:51:52 AMT 2022","Sun Jun 05 22:51:58 AMT 2022","6017","","Automation Practice","","Automation Practice","Should scroll down to the selected item and click on it","Should scroll down to the selected item and click on it",""
"passed","Sun Jun 05 22:57:26 AMT 2022","Sun Jun 05 22:57:26 AMT 2022","376","","Automation Practice","","Automation Practice"," Select an item from the dynamic dropdown"," Select an item from the dynamic dropdown",""
"passed","Fri Jun 03 18:57:22 AMT 2022","Fri Jun 03 18:57:22 AMT 2022","418","","Automation Practice","","Automation Practice","Select an item from the static dropdown","Select an item from the static dropdown",""
"passed","Sun Jun 05 22:51:05 AMT 2022","Sun Jun 05 22:51:05 AMT 2022","137","","Automation Practice","","Automation Practice","Select an option from the checkbox","Select an option from the checkbox",""
"passed","Fri Jun 03 22:48:58 AMT 2022","Fri Jun 03 22:49:01 AMT 2022","3500","","Automation Practice","","Automation Practice","Should scroll up to page footer section","Should scroll up to page footer section",""
"passed","Sun Jun 05 22:51:51 AMT 2022","Sun Jun 05 22:51:52 AMT 2022","1610","","Automation Practice","","Automation Practice","Navigate to the new tab","Navigate to the new tab",""
